Date;Time;Severity;TID;This;Function;Message
2016/04/11;04:48:19.689;INFO;18475;0;main@63;"Logging to -> logs/tcl_server.log"
2016/04/11;04:48:19.695;INFO;18475;0;main@74;"SPI speed: 8 MHz, ready..."
2016/04/11;04:48:19.699;INFO;18475;0;opc_new_source@80;"OPC: Listening on port 7890"
2016/04/11;04:48:20.216;INFO;18475;0;opc_receive@117;"OPC: Client connected from 127.0.0.1"
2016/06/30;00:57:09.735;INFO;8144;0;main@82;"Logging to -> logs/tcl_server.log"
2016/06/30;00:57:09.753;INFO;8144;0;main@95;"SPI speed: 0 MHz, ready..."
2016/06/30;00:57:09.759;ERROR;8144;0;opc_listen@50;"OPC: Could not bind to port 2"
2016/06/30;00:57:34.837;INFO;8267;0;main@82;"Logging to -> logs/tcl_server.log"
2016/06/30;00:57:34.842;INFO;8267;0;main@95;"SPI speed: 0 MHz, ready..."
2016/06/30;00:57:34.845;ERROR;8267;0;opc_listen@50;"OPC: Could not bind to port 2"
2016/06/30;00:57:55.304;INFO;8371;0;main@82;"Logging to -> logs/tcl_server.log"
2016/06/30;00:57:55.316;INFO;8371;0;main@95;"SPI speed: 0 MHz, ready..."
2016/06/30;00:57:55.323;ERROR;8371;0;opc_listen@50;"OPC: Could not bind to port 2"
2016/06/30;00:57:57.487;INFO;8387;0;main@82;"Logging to -> logs/tcl_server.log"
2016/06/30;00:57:57.491;INFO;8387;0;main@95;"SPI speed: 2 MHz, ready..."
2016/06/30;00:57:57.494;INFO;8387;0;opc_new_source@80;"OPC: Listening on port 7890"
2016/06/30;00:58:00.805;INFO;8387;0;opc_receive@117;"OPC: Client connected from 127.0.0.1"
2016/06/30;01:02:11.655;INFO;9685;0;main@82;"Logging to -> logs/tcl_server.log"
2016/06/30;01:02:11.678;INFO;9685;0;main@95;"SPI speed: 2 MHz, ready..."
2016/06/30;01:02:11.682;INFO;9685;0;opc_new_source@80;"OPC: Listening on port 7890"
2016/06/30;01:02:21.703;INFO;9685;0;main@100;"Timeout, no clients"
2016/06/30;01:02:31.718;INFO;9685;0;main@100;"Timeout, no clients"
2016/06/30;01:02:37.009;INFO;9803;0;main@82;"Logging to -> logs/tcl_server.log"
2016/06/30;01:02:37.022;INFO;9803;0;main@95;"SPI speed: 2 MHz, ready..."
2016/06/30;01:02:37.030;INFO;9803;0;opc_new_source@80;"OPC: Listening on port 7890"
2016/06/30;01:04:44.000;INFO;10410;0;main@82;"Logging to -> logs/tcl_server.log"
2016/06/30;01:04:46.468;INFO;10430;0;main@82;"Logging to -> logs/tcl_server.log"
2016/06/30;01:06:26.808;INFO;10899;0;main@82;"Logging to -> logs/tcl_server.log"
2016/06/30;01:06:26.839;INFO;10899;0;main@104;"Gamma correction string: (null)"
2016/06/30;01:06:34.748;INFO;10923;0;main@82;"Logging to -> logs/tcl_server.log"
2016/06/30;01:06:34.759;INFO;10923;0;main@104;"Gamma correction string: (null)"
2016/06/30;01:11:17.424;INFO;12228;0;main@82;"Logging to -> logs/tcl_server.log"
2016/06/30;01:11:17.435;INFO;12228;0;main@102;"Gamma correction string: 2.8"
2016/06/30;01:11:17.439;INFO;12228;0;main@107;"Gamma correction factor: 2.8"
2016/06/30;01:11:17.457;INFO;12228;0;main@110;"SPI speed: 2 MHz, ready..."
2016/06/30;01:11:17.463;INFO;12228;0;opc_new_source@80;"OPC: Listening on port 7890"
2016/06/30;01:11:20.808;INFO;12228;0;opc_receive@117;"OPC: Client connected from 127.0.0.1"
2016/06/30;01:11:44.493;INFO;12339;0;main@82;"Logging to -> logs/tcl_server.log"
2016/06/30;01:11:44.499;INFO;12339;0;main@107;"Gamma correction factor: 1"
2016/06/30;01:11:44.506;INFO;12339;0;main@110;"SPI speed: 2 MHz, ready..."
2016/06/30;01:11:44.508;INFO;12339;0;opc_new_source@80;"OPC: Listening on port 7890"
2016/06/30;01:11:45.798;INFO;12339;0;opc_receive@117;"OPC: Client connected from 127.0.0.1"
2016/06/30;01:11:50.978;INFO;12381;0;main@82;"Logging to -> logs/tcl_server.log"
2016/06/30;01:11:50.983;INFO;12381;0;main@102;"Gamma correction string: 2.8"
2016/06/30;01:11:50.985;INFO;12381;0;main@107;"Gamma correction factor: 2.8"
2016/06/30;01:11:50.990;INFO;12381;0;main@110;"SPI speed: 2 MHz, ready..."
2016/06/30;01:11:50.993;INFO;12381;0;opc_new_source@80;"OPC: Listening on port 7890"
2016/06/30;01:11:55.810;INFO;12381;0;opc_receive@117;"OPC: Client connected from 127.0.0.1"
